SEASON,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER
2023/2024,07/08/2023,27,2023,1799,40924,4.395953475,Low,69,1545,4.466019,Low,8,1550,0.516129,Very Low,,,,,,,,,,,,,1068.0,22,1,0,2.059925,0.093633,0.0
2023/2024,07/15/2023,28,2023,2050,41354,4.95719882,Low,92,1670,5.508982,Low,11,1641,0.670323,Very Low,,,,,,,,,,,,,1013.0,16,0,0,1.579467,0.0,0.0
2023/2024,07/22/2023,29,2023,2226,41390,5.378110655,Low,46,1531,3.004572,Low,14,1518,0.922266,Very Low,,,,,,,,,,,,,1042.0,17,0,1,1.631478,0.0,0.095969
2023/2024,07/29/2023,30,2023,2577,40828,6.311844812,Low,89,1321,6.73732,Low,12,1339,0.896191,Very Low,,,,,,,,,,,,,1003.0,31,0,0,3.090728,0.0,0.0
2023/2024,08/05/2023,31,2023,3126,42140,7.418130043,Low,79,1497,5.277221,Low,28,1515,1.848185,Low,,,,,,,,,,,,,1006.0,21,0,0,2.087475,0.0,0.0
2023/2024,08/12/2023,32,2023,3616,43493,8.31398156,Moderate,116,2627,4.415683,Low,39,2022,1.928783,Low,,,,,,,,,,,,,1042.0,17,0,0,1.631478,0.0,0.0
2023/2024,08/19/2023,33,2023,4135,46015,8.986200152,Moderate,118,3300,3.575758,Low,38,2422,1.568951,Low,,,,,,,,,,,,,1084.0,30,0,0,2.767528,0.0,0.0
2023/2024,08/26/2023,34,2023,4694,47417,9.899403168,Moderate,86,3720,2.311828,Low,52,2919,1.781432,Low,,,,,,,,,,,,,1050.0,28,1,0,2.666667,0.095238,0.0
2023/2024,09/02/2023,35,2023,4414,48488,9.103283287,Moderate,92,4210,2.185273,Low,66,3286,2.008521,Low,,,,,,,,,,,,,1002.0,26,0,1,2.59481,0.0,0.0998
2023/2024,09/09/2023,36,2023,3938,44291,8.891196857,Moderate,100,4456,2.244165,Low,81,3536,2.290724,Low,,,,,,,,,,,,,1044.0,18,0,0,1.724138,0.0,0.0
2023/2024,09/16/2023,37,2023,3744,47886,7.818569102,Low,155,4626,3.350627,Low,113,3792,2.979958,Low,,,,,,,,,,,,,1038.0,21,1,0,2.023121,0.096339,0.0
2023/2024,09/23/2023,38,2023,3023,48207,6.270873525,Low,114,4972,2.29284,Low,159,3935,4.040661,Moderate,,,,,,,,,,,,,1018.0,30,0,0,2.946955,0.0,0.0
2023/2024,09/30/2023,39,2023,2655,48572,5.466112163,Low,143,5613,2.547657,Low,249,4448,5.598022,Moderate,,,,,,,,,,,,,1036.0,32,2,1,3.088803,0.19305,0.096525
2023/2024,10/07/2023,40,2023,2215,45854,4.830549134,Low,165,5942,2.776843,Low,287,4591,6.251361,Moderate,,,,,,,,,,,,,1096.0,24,0,0,2.189781,0.0,0.0
2023/2024,10/14/2023,41,2023,2354,45021,5.228671065,Low,134,6039,2.21891,Low,351,4803,7.307933,High,,,,,,,,,,,,,1073.0,21,0,1,1.95713,0.0,0.093197
2023/2024,10/21/2023,42,2023,2492,43527,5.725182071,Low,1087,7004,15.519703,High,1051,5711,18.403082,Very High,,,,,,,,,,,,,1022.0,21,1,0,2.054795,0.097847,0.0
2023/2024,10/28/2023,43,2023,2344,39297,5.964831921,Low,1373,7285,18.846946,High,1030,6029,17.084094,Very High,,,,,,,,,,,,,1047.0,20,1,1,1.91022,0.095511,0.095511
2023/2024,11/04/2023,44,2023,2613,43331,6.03032471,Low,1956,11726,16.68088,High,1729,9999,17.291729,Very High,,,,,,,,,,,,,1138.0,17,0,0,1.493849,0.0,0.0
2023/2024,11/11/2023,45,2023,3018,48584,6.21192162,Low,2467,16322,15.114569,High,2656,13871,19.147862,Very High,,,,,,,,,,,,,1073.0,25,1,1,2.329916,0.093197,0.093197
2023/2024,11/18/2023,46,2023,2720,46839,5.80712654,Low,3068,19361,15.846289,High,2863,16304,17.560108,Very High,,,,,,,,,,,,,1067.0,22,0,3,2.061856,0.0,0.281162
2023/2024,11/25/2023,47,2023,2507,40070,6.256551036,Low,3080,17945,17.163555,High,2463,15526,15.863712,Very High,,,,,,,,,,,,,1098.0,24,1,2,2.185792,0.091075,0.182149
2023/2024,12/02/2023,48,2023,3815,47615,8.012181035,Moderate,3988,22341,17.850589,High,2276,19143,11.889464,Very High,,,,,,,,,,,,,1182.0,28,5,2,2.368866,0.423012,0.169205
2023/2024,12/09/2023,49,2023,3909,52620,7.428734322,Low,3664,22923,15.983946,High,2141,18472,11.590515,Very High,,,,,,,,,,,,,1089.0,30,2,6,2.754821,0.183655,0.550964
2023/2024,12/16/2023,50,2023,4088,55365,7.383726181,Low,4218,23895,17.652228,High,1988,19540,10.174002,Very High,,,,,,,,,,,,,1160.0,29,4,4,2.5,0.344828,0.344828
2023/2024,12/23/2023,51,2023,5010,55096,9.093219108,Moderate,5423,26093,20.783352,High,1839,21910,8.393428,High,,,,,,,,,,,,,1253.0,31,11,6,2.474062,0.877893,0.478851
2023/2024,12/30/2023,52,2023,4777,51275,9.316431009,Moderate,4504,24288,18.544137,High,1642,20756,7.910966,High,,,,,,,,,,,,,1206.0,34,10,7,2.819237,0.829187,0.580431
2023/2024,12/30/2023,53,2023,5028,51024,9.854186265,Moderate,4237,24297,17.438367,High,1648,20661,7.976381,High,,,,,,,,,,,,,1193.0,37,11,6,3.101425,0.880134,0.461023
2023/2024,01/06/2024,1,2024,5260,50752,10.36412358,Moderate,3951,24289,16.266623,High,1635,20544,7.958528,High,,,,,,,,,,,,,1180.0,40,11,4,3.389831,0.932203,0.338983
2023/2024,01/13/2024,2,2024,4745,52944,8.962299788,Moderate,3193,23168,13.781941,Moderate,1271,19036,6.676823,Moderate,,,8391874.0,819.0,,,9.759441097,,,Low,,,1284.0,41,12,10,3.193146,0.934579,0.778816
2023/2024,01/20/2024,3,2024,4039,48590,8.312409961,Moderate,3040,21472,14.157973,Moderate,944,17921,5.267563,Moderate,,,8391874.0,786.0,,,9.366203544,,,Low,,,1192.0,46,8,10,3.85906,0.671141,0.838926
2023/2024,01/27/2024,4,2024,3036,52455,5.78781813,Low,2287,21174,10.800982,Moderate,860,17548,4.900843,Moderate,,,8391874.0,684.0,,,8.150742015,,,Low,,,1192.0,25,4,6,2.097315,0.33557,0.503356
2023/2024,02/03/2024,5,2024,2622,51507,5.090570214,Low,1794,20311,8.832652,Low,688,17058,4.033298,Moderate,,,8391874.0,624.0,,,7.435764646,,,Low,,,1131.0,31,7,4,2.740937,0.618921,0.353669
2023/2024,02/10/2024,6,2024,2184,52598,4.152249135,Low,1390,19526,7.118714,Low,607,16566,3.664131,Low,,,8391874.0,554.0,,,6.601624381,,,Low,,,1142.0,40,5,9,3.502627,0.437828,0.788091
2023/2024,02/17/2024,7,2024,2116,51286,4.125882307,Low,1446,20392,7.091016,Low,480,17053,2.814754,Low,,,8391874.0,520.0,,,6.196470538,,,Low,,,1104.0,20,7,3,1.811594,0.634058,0.271739
2023/2024,02/24/2024,8,2024,1730,51264,3.37468789,Low,1219,20044,6.08162,Low,447,16790,2.662299,Low,,,8391874.0,517.0,,,6.16072167,,,Low,,,1151.0,22,1,1,1.911381,0.086881,0.086881
2023/2024,03/02/2024,9,2024,1435,53177,2.698535081,Very Low,1227,21218,5.782826,Low,376,17748,2.118549,Low,,,8391874.0,429.0,,,5.112088194,,,Low,,,1089.0,17,2,3,1.561065,0.183655,0.275482
2023/2024,03/09/2024,10,2024,1301,54373,2.392731687,Very Low,1256,20427,6.148725,Low,231,17074,1.352934,Low,,,8391874.0,357.0,,,4.25411535,,,Low,,,1115.0,14,2,2,1.255605,0.179372,0.179372
2023/2024,03/16/2024,11,2024,1067,55638,1.917754053,Very Low,1157,20444,5.659362,Low,219,17183,1.274516,Low,,,8391874.0,362.0,,,4.313696798,,,Low,,,1175.0,16,1,2,1.361702,0.085106,0.170213
2023/2024,03/23/2024,12,2024,1029,54578,1.88537506,Very Low,1218,19910,6.117529,Low,151,16558,0.911946,Very Low,,,8391874.0,324.0,,,3.860877797,,,Low,,,1123.0,12,4,1,1.068566,0.356189,0.089047
2023/2024,03/30/2024,13,2024,954,53666,1.777661834,Very Low,987,18595,5.307878,Low,147,15461,0.950779,Very Low,,,8391874.0,309.0,,,3.682133454,,,Low,,,1072.0,10,3,1,0.932836,0.279851,0.093284
2023/2024,04/06/2024,14,2024,808,52607,1.535917273,Very Low,834,16757,4.977025,Low,89,13883,0.641072,Very Low,,,8391874.0,264.0,,,3.145900427,,,Low,,,1117.0,9,0,2,0.80573,0.0,0.179051
2023/2024,04/13/2024,15,2024,804,50644,1.587552326,Very Low,825,16078,5.131235,Low,81,13492,0.600356,Very Low,,,8391874.0,260.0,,,3.098235269,,,Low,,,1124.0,7,1,1,0.622776,0.088968,0.088968
2023/2024,04/20/2024,16,2024,833,46754,1.78166574,Very Low,867,15733,5.51071,Low,52,12868,0.404103,Very Low,,,8391874.0,240.0,,,2.859909479,,,Very Low,,,1073.0,5,1,0,0.465983,0.093197,0.0
2023/2024,04/27/2024,17,2024,875,47431,1.844785056,Very Low,760,15119,5.026787,Low,47,12447,0.377601,Very Low,,,8391874.0,245.0,,,2.919490927,,,Very Low,,,1040.0,10,1,1,0.961538,0.096154,0.096154
2023/2024,05/04/2024,18,2024,991,45119,2.196413928,Very Low,466,11869,3.926194,Low,27,9237,0.292303,Very Low,,,8391874.0,244.0,,,2.907574637,,,Very Low,,,1040.0,14,2,0,1.346154,0.192308,0.0
2023/2024,05/11/2024,19,2024,1145,42546,2.691204814,Very Low,411,9128,4.502629,Low,20,6655,0.300526,Very Low,,,8391874.0,282.0,,,3.360393638,,,Low,,,1130.0,12,6,0,1.061947,0.530973,0.0
2023/2024,05/18/2024,20,2024,1302,38503,3.381554684,Low,449,8753,5.12967,Low,12,6294,0.190658,Very Low,,,8391874.0,308.0,,,3.670217165,,,Low,,,1048.0,15,1,0,1.431298,0.09542,0.0
2023/2024,05/25/2024,21,2024,1481,38946,3.802701176,Low,414,8780,4.715262,Low,32,6321,0.506249,Very Low,,,8391874.0,272.0,,,3.241230743,,,Low,,,1074.0,16,0,1,1.489758,0.0,0.09311
2023/2024,06/01/2024,22,2024,1796,43083,4.16869763,Low,465,8721,5.331957,Low,27,6208,0.434923,Very Low,,,8391874.0,337.0,,,4.01578956,,,Low,,,1054.0,13,1,0,1.233397,0.094877,0.0
2023/2024,06/08/2024,23,2024,2176,44151,4.92854069,Low,502,8501,5.905188,Low,35,6229,0.561888,Very Low,,,8391874.0,373.0,,,4.444775982,,,Low,,,1085.0,15,5,0,1.382488,0.460829,0.0
2023/2024,06/15/2024,24,2024,2847,46015,6.187112898,Low,443,8210,5.395859,Low,24,6054,0.396432,Very Low,,,8391874.0,406.0,,,4.838013535,,,Low,,,1063.0,15,1,0,1.411101,0.094073,0.0
2023/2024,06/22/2024,25,2024,3646,47245,7.717218753,Low,378,8506,4.443922,Low,26,6065,0.428689,Very Low,,,8391874.0,479.0,,,5.707902669,,,Low,,,1056.0,21,4,0,1.988636,0.378788,0.0
2023/2024,06/29/2024,26,2024,3462,41196,8.403728517,Moderate,391,8220,4.756691,Low,30,5844,0.513347,Very Low,,,8391874.0,558.0,,,6.649289539,,,Low,,,1102.0,23,1,0,2.087114,0.090744,0.0
2024/2025,07/06/2024,27,2024,3654,36611,9.980606921,Moderate,372,8181,4.547121,Low,27,5738,0.470547,Very Low,,,8391953.0,635.0,,,7.566772598,,,Low,,,1085.0,20,2,0,1.843318,0.184332,0.0
2024/2025,07/13/2024,28,2024,4326,47451,9.116773092,Moderate,279,8190,3.406593,Low,35,5854,0.597882,Very Low,,,8391953.0,653.0,,,7.781263789,,,Low,,,1051.0,22,2,0,2.093245,0.190295,0.0
