SEASON,WEEKENDING,MMWR_WEEK,MMWR_YEAR,us_aqi (USAQI),us_aqi_pm2_5 (USAQI),us_aqi_pm10 (USAQI),us_aqi_nitrogen_dioxide (USAQI),us_aqi_carbon_monoxide (USAQI),us_aqi_ozone (USAQI),us_aqi_sulphur_dioxide (USAQI),uv_index (),uv_index_clear_sky (),dust (μg/m³),aerosol_optical_depth (),ozone (μg/m³),sulphur_dioxide (μg/m³),nitrogen_dioxide (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),pm10 (μg/m³)
2022/2023,07/01/2023,26,2023,8.12403840463596,49,4.0,2.772588722239781,1.0986122886681098,2.86866783484744,1.0986122886681098,10.2,10.2,0.4166666666666667,0.09625,68.45833333333333,1.4937963386706423,2.5829664459277413,2.544197802497293,0.18075135612201232,4.237535331966401
2023/2024,07/08/2023,27,2023,7.483314773547883,52,4.242640687119285,2.70805020110221,1.3862943611198906,2.2490722144120148,1.0986122886681098,10.55,11.45,0.8690476190476191,0.11125,63.00595238095238,0.9496377676404256,1.7634094110198717,2.2025550318277487,-1.2926179926999708,3.596011534950835
2023/2024,07/15/2023,28,2023,7.280109889280518,45,3.872983346207417,2.772588722239781,1.0986122886681098,2.0571505815775266,1.0986122886681098,10.9,11.15,0.47023809523809523,0.056369047619047624,53.00595238095238,1.1704981309811362,2.10194041210086,2.0919576551047085,-1.2830373069581558,3.3777215696194967
2023/2024,07/22/2023,29,2023,7.211102550927978,52,4.358898943540674,2.772588722239781,1.0986122886681098,1.6636389830130331,1.0986122886681098,10.25,10.6,0.16071428571428573,0.1144047619047619,56.023809523809526,1.2876360863203877,2.263435079462088,2.446663181568138,-0.5508083622210451,4.073868504125075
2023/2024,07/29/2023,30,2023,7.14142842854285,51,4.242640687119285,2.6390573296152584,1.0986122886681098,1.1858040827371532,1.0986122886681098,10.8,10.8,0.0,0.05952380952380952,51.404761904761905,1.2012343466019906,2.1204237202041605,2.071097368243877,-1.1990216005951406,3.279350450998906
2023/2024,08/05/2023,31,2023,6.324555320336759,40,3.605551275463989,2.302585092994046,1.0986122886681098,1.1858040827371532,1.0986122886681098,10.1,10.25,0.0,0.08428571428571428,48.05357142857143,0.9922085819975066,1.9608784647091635,2.0543871119464105,-1.179653830212216,3.219378595869309
2023/2024,08/12/2023,32,2023,6.244997998398398,37,3.605551275463989,2.6390573296152584,1.0986122886681098,1.1156641466611692,1.0986122886681098,9.65,9.65,0.13095238095238096,0.09839285714285714,46.13690476190476,0.946686673999318,1.9863500612625202,1.96892437803692,-1.3797314109272698,3.093386866111755
2023/2024,08/19/2023,33,2023,8.888194417315589,52,4.358898943540674,2.5649493574615367,1.0986122886681098,3.6351438296146172,1.0986122886681098,9.05,9.2,1.2857142857142858,0.1394642857142857,65.48809523809524,1.1748906456307653,2.188686836547213,2.449839223620915,-0.7072865144076661,4.090772880457907
2023/2024,08/26/2023,34,2023,9.219544457292887,54,4.58257569495584,3.044522437723423,1.3862943611198906,3.9764189037600293,1.3862943611198906,9.25,9.45,1.3928571428571428,0.1906547619047619,69.06547619047619,1.1671363874904173,2.1681003969534243,2.2808767033087993,0.01720978967571906,3.7704683510325445
2023/2024,09/02/2023,35,2023,9.327379053088816,69,5.385164807134504,2.833213344056216,1.3862943611198906,4.088615358486448,1.6094379124341003,9.35,9.35,0.08333333333333333,0.10255952380952381,48.05357142857143,1.1381602339806922,2.238932049536216,2.181569910282011,-0.2750769745821067,3.581293576104573
2023/2024,09/09/2023,36,2023,6.782329983125268,43,3.7416573867739413,3.1354942159291497,1.3862943611198906,1.5966913036514077,1.0986122886681098,8.1,8.1,0.48214285714285715,0.08345238095238094,54.63095238095238,1.0997479331889848,2.2990526745579603,2.0019488742732987,-0.20639595448620626,3.1915351813355026
2023/2024,09/16/2023,37,2023,6.557438524302,43,3.7416573867739413,2.772588722239781,1.3862943611198906,1.3246049715253485,1.3862943611198906,7.9,8.1,0.03571428571428571,0.12375,54.0,1.2279248643700498,2.159283564187728,2.1351299365196277,-0.4423587364017323,3.399246298684159
2023/2024,09/23/2023,38,2023,7.280109889280518,53,4.358898943540674,2.8903717578961645,1.3862943611198906,1.4615317094799078,0.6931471805599453,6.7,6.8,0.5952380952380952,0.1613690476190476,60.458333333333336,0.9326439100324664,2.092367977757137,2.2498166339837025,0.005153926387466435,3.7400689931674185
2023/2024,09/30/2023,39,2023,7.211102550927978,52,4.242640687119285,2.9444389791664403,1.3862943611198906,1.393295659985608,1.3862943611198906,7.0,7.0,0.24404761904761904,0.07404761904761904,52.88690476190476,1.074758710179056,2.165636005554918,1.8677204745358709,-0.39997781222094286,2.9841038106643962
2023/2024,10/07/2023,40,2023,8.06225774829855,53,4.242640687119285,3.332204510175204,1.6094379124341003,2.8079884218274103,1.791759469228055,6.05,6.1,0.4166666666666667,0.07297619047619047,57.107142857142854,1.6845052180624238,2.8472091866754794,2.4270616134453666,0.5082525516551937,3.9805910687311217
2023/2024,10/14/2023,41,2023,7.3484692283495345,54,4.358898943540674,3.091042453358316,1.3862943611198906,1.25544593312833,1.791759469228055,6.25,6.35,0.16071428571428573,0.06059523809523809,53.339285714285715,1.396647161467341,2.3462286623733215,1.9424722862887105,-0.250436512264664,3.1066052071746264
2023/2024,10/21/2023,42,2023,7.810249675906654,61,4.795831523312719,3.1780538303479458,1.6094379124341003,1.7963261754014708,1.6094379124341003,5.9,5.9,0.4880952380952381,0.06946428571428571,49.666666666666664,1.4259447163032515,2.773566044229907,2.323147142953406,0.22430650508536354,3.820250128913961
2023/2024,10/28/2023,43,2023,6.324555320336759,40,3.605551275463989,2.9444389791664403,1.3862943611198906,1.1156641466611692,1.3862943611198906,5.0,5.05,0.0,0.05154761904761905,51.30952380952381,1.226066313323087,2.526689023593645,1.8859117765982574,-0.16022912951971216,2.9989510926819465
2023/2024,11/04/2023,44,2023,8.602325267042627,74,5.5677643628300215,3.58351893845611,1.9459101490553132,1.25544593312833,1.9459101490553132,4.6,4.6,0.34523809523809523,0.06107142857142857,37.18452380952381,1.7855165104289812,3.3535414716947,2.5145795479767563,1.0333007980150561,4.183416035778016
2023/2024,11/11/2023,45,2023,7.416198487095663,55,4.358898943540674,3.4339872044851463,1.791759469228055,0.9020894515171182,2.4849066497880004,3.35,4.0,0.0,0.06601190476190476,39.07142857142857,2.12576345232167,2.9275600116698346,2.0302376607452746,0.19393183083831428,3.2351831282034804
2023/2024,11/18/2023,46,2023,7.0710678118654755,50,4.0,3.1354942159291497,1.791759469228055,1.1858040827371532,1.3862943611198906,3.1,3.15,0.13095238095238096,0.056666666666666664,53.339285714285715,0.9255781078865779,2.325205523594301,1.6313873592303678,-0.2611363668412522,2.5976765982833423
2023/2024,11/25/2023,47,2023,6.708203932499369,45,3.7416573867739413,3.4965075614664802,1.791759469228055,0.6833885472017746,1.791759469228055,3.05,3.05,0.4880952380952381,0.044821428571428575,34.517857142857146,1.5607228248037208,3.2027757088433026,1.9835786552180967,0.6440662526039639,3.1307809302977474
2023/2024,12/02/2023,48,2023,6.082762530298219,36,3.4641016151377544,3.367295829986474,1.791759469228055,0.9738244546914817,1.6094379124341003,2.55,2.8,0.7321428571428571,0.059821428571428574,42.023809523809526,1.341596847198479,2.872358278448916,1.9205134509824922,0.3016423556832907,3.1027561867719595
2023/2024,12/09/2023,49,2023,6.4031242374328485,41,3.605551275463989,3.367295829986474,1.791759469228055,0.7568926750242753,1.6094379124341003,2.4,2.45,0.30952380952380953,0.05892857142857143,35.36904761904762,1.4292726309603363,3.1009961196762097,2.043533398949947,0.2724236721634949,3.25970629846334
2023/2024,12/16/2023,50,2023,7.874007874011811,62,5.0990195135927845,3.4339872044851463,1.9459101490553132,0.22809976771310445,1.791759469228055,2.15,2.15,1.6488095238095237,0.06767857142857144,24.0,1.7067174926176099,3.3811789766843763,2.568454523599979,0.9245178068775493,4.409367250204625
2023/2024,12/23/2023,51,2023,7.280109889280518,53,4.358898943540674,3.332204510175204,1.791759469228055,1.0450099725061894,1.6094379124341003,1.95,2.05,0.125,0.06380952380952382,42.86309523809524,1.0795693392810108,2.6479983757476666,1.7062927947880164,-0.29555106964699845,2.69279023697446
2023/2024,12/30/2023,52,2023,7.211102550927978,52,4.123105625617661,3.367295829986474,1.791759469228055,0.8297856925675801,1.9459101490553132,1.85,2.1,0.06547619047619048,0.06404761904761905,41.43452380952381,1.2987426990901123,2.797040828361836,1.879760791835969,0.06086383290012086,3.0131739950621204
2023/2024,01/06/2024,1,2024,6.4031242374328485,41,3.605551275463989,3.332204510175204,1.791759469228055,0.8297856925675801,1.6094379124341003,2.1,2.2,0.05357142857142857,0.06738095238095239,41.18452380952381,1.3132614424521347,2.886043911533489,1.954267700374243,0.23548247965715025,3.1614552850489344
2023/2024,01/13/2024,2,2024,6.164414002968976,38,3.7416573867739413,3.4011973816621555,1.3862943611198906,0.8297856925675801,1.6094379124341003,2.05,2.85,0.17261904761904762,0.05708333333333333,43.68452380952381,1.3294158504406506,2.888457358234066,1.7879121875729385,0.12795731689118273,2.909902134553905
2023/2024,01/20/2024,3,2024,7.211102550927978,52,4.123105625617661,3.367295829986474,1.6094379124341003,0.5344520050540486,1.6094379124341003,2.6,2.75,0.07142857142857142,0.07279761904761906,37.48809523809524,1.2241225302078707,2.802916146430975,2.023923172378003,0.004054509900783278,3.2738400185202026
2023/2024,01/27/2024,4,2024,6.324555320336759,40,3.605551275463989,3.295836866004329,1.791759469228055,0.7568926750242753,1.3862943611198906,2.7,2.85,0.10714285714285714,0.07732142857142857,44.50595238095238,1.0977094737660458,2.6373258973895695,1.7221997679891008,-0.1710759412288835,2.715522393004092
2023/2024,02/03/2024,5,2024,7.14142842854285,51,4.123105625617661,3.2188758248682006,1.6094379124341003,1.1858040827371532,1.3862943611198906,3.15,3.25,0.18452380952380953,0.06857142857142857,51.726190476190474,1.0045480852930404,2.4919254584503157,1.8722068416230995,-0.10905862617963692,3.0478308474795623
2023/2024,02/10/2024,6,2024,6.928203230275509,48,4.0,3.258096538021482,1.6094379124341003,1.1858040827371532,1.6094379124341003,2.85,3.2,0.1130952380952381,0.08410714285714287,55.82738095238095,1.1199058568180544,2.4561570109485777,1.8850714660593428,-0.04513561205165673,3.1105578425221316
2023/2024,02/17/2024,7,2024,7.280109889280518,53,4.242640687119285,3.4011973816621555,1.6094379124341003,1.1156641466611692,1.6094379124341003,3.55,3.9,0.2619047619047619,0.0905952380952381,42.785714285714285,1.260780902713447,2.874831489044623,2.017875389531346,0.2833682108976498,3.272658422499686
2023/2024,02/24/2024,8,2024,7.54983443527075,57,4.69041575982343,3.332204510175204,1.791759469228055,1.25544593312833,1.6094379124341003,3.75,4.05,0.19047619047619047,0.09672619047619048,54.38095238095238,0.9694777341752074,2.350446759942052,1.9740908678019027,-0.10189964608860572,3.282122137024255
2023/2024,03/02/2024,9,2024,7.483314773547883,56,4.58257569495584,3.295836866004329,1.6094379124341003,1.5293261346805223,1.3862943611198906,4.7,4.75,0.44047619047619047,0.09922619047619048,62.339285714285715,1.196078612374322,2.3412089650221413,2.0678128014349455,-0.07574906188162912,3.4164903517504204
2023/2024,03/09/2024,10,2024,7.3484692283495345,54,4.358898943540674,3.295836866004329,1.3862943611198906,1.6636389830130331,1.3862943611198906,5.25,5.25,0.07142857142857142,0.13220238095238096,61.68452380952381,1.1288482148821986,2.51936394424251,2.173591645360286,-0.04975890909810071,3.614916619699843
2023/2024,03/16/2024,11,2024,6.782329983125268,46,4.0,3.4965075614664802,1.6094379124341003,1.5966913036514077,1.3862943611198906,5.3,5.3,0.17857142857142858,0.09488095238095237,63.31547619047619,1.1928882603140516,2.4932688103432477,2.029913438130473,0.018275075843270785,3.2666473631310775
2023/2024,03/23/2024,12,2024,7.0710678118654755,50,4.123105625617661,3.295836866004329,1.6094379124341003,1.4615317094799078,1.3862943611198906,5.8,6.15,0.07738095238095238,0.09321428571428572,56.166666666666664,1.2671635487047663,2.724543879262184,2.1473965523087717,0.25813962415172087,3.500924858286817
2023/2024,03/30/2024,13,2024,6.708203932499369,33,3.4641016151377544,3.091042453358316,1.3862943611198906,1.5293261346805223,1.0986122886681098,5.2,6.35,0.02976190476190476,0.11833333333333333,68.20238095238095,0.8627972534381392,2.096511462954286,1.8461141902368075,-0.3455837381186366,2.9846008088255136
2023/2024,04/06/2024,14,2024,7.483314773547883,51,4.123105625617661,3.091042453358316,1.3862943611198906,2.2490722144120148,1.3862943611198906,7.35,7.35,0.1130952380952381,0.12148809523809524,68.48809523809524,1.1062765759726365,2.3130296586661605,2.163919899219504,0.029623792762361288,3.58084725003231
2023/2024,04/13/2024,15,2024,7.810249675906654,55,4.47213595499958,3.332204510175204,1.3862943611198906,2.562524012261891,1.6094379124341003,6.95,6.95,0.20833333333333334,0.09333333333333334,64.55357142857143,1.247277410638916,2.4307708377562736,2.1235835439045387,-0.046480285305318225,3.459250268575084
2023/2024,04/20/2024,16,2024,8.0,64,5.0,3.258096538021482,1.6094379124341003,2.438063739208284,1.6094379124341003,8.15,8.15,0.13095238095238096,0.10595238095238095,66.97619047619048,1.40425402899032,2.581788339283087,2.281602845587227,0.14495035456067135,3.8018109603893064
2023/2024,04/27/2024,17,2024,7.0710678118654755,50,4.123105625617661,3.1780538303479458,1.3862943611198906,1.4615317094799078,1.3862943611198906,8.5,8.65,0.25,0.12202380952380952,68.9702380952381,0.9172758055121852,1.8569322348268795,1.9608839985785929,-0.6897007341036222,3.156993266215573
2023/2024,05/04/2024,18,2024,6.928203230275509,26,3.0,2.4849066497880004,1.0986122886681098,1.7301803790794439,1.0986122886681098,8.65,8.65,0.05357142857142857,0.06273809523809525,62.267857142857146,0.9564558709440047,2.0268330045199408,1.780822022504007,-0.8585092993678468,2.76195611241467
2023/2024,05/11/2024,19,2024,8.888194417315589,53,4.358898943540674,2.9444389791664403,1.3862943611198906,3.6351438296146172,1.3862943611198906,8.85,8.9,0.30357142857142855,0.085,73.72619047619048,1.2058273749092756,2.2120085829994487,2.1488127526653353,-0.2999464883114098,3.4860034510574267
2023/2024,05/18/2024,20,2024,6.708203932499369,43,3.7416573867739413,2.4849066497880004,1.0986122886681098,1.5293261346805223,1.0986122886681098,8.9,9.0,0.6726190476190477,0.12172619047619047,65.67261904761905,0.8680922187131608,1.8403760444116923,2.0699304977618107,-0.9054624109675067,3.308899517108685
2023/2024,05/25/2024,21,2024,7.0,40,3.7416573867739413,2.6390573296152584,1.0986122886681098,1.7963261754014708,1.0986122886681098,8.75,8.75,0.1488095238095238,0.08148809523809523,66.85119047619048,0.9200524484299242,1.8745639419658802,2.0699062764172504,-1.0452995597893975,3.366822794792491
2023/2024,06/01/2024,22,2024,7.0,40,3.7416573867739413,2.772588722239781,1.3862943611198906,1.7963261754014708,1.0986122886681098,9.1,9.1,0.15476190476190477,0.06422619047619048,68.27380952380952,1.1046958065373196,2.0166794167599966,2.0799553045045647,-0.863922843534325,3.362156542610558
2023/2024,06/08/2024,23,2024,6.48074069840786,39,3.7416573867739413,2.4849066497880004,1.0986122886681098,1.3246049715253485,1.3862943611198906,10.55,10.55,0.1130952380952381,0.07160714285714286,54.19642857142857,1.0903951502287814,1.9685423001764075,1.9893267705014126,-1.352203722692568,3.152545612425823
2023/2024,06/15/2024,24,2024,7.937253933193772,39,3.7416573867739413,2.4849066497880004,1.0986122886681098,2.685816588994589,1.0986122886681098,10.6,10.6,0.16666666666666666,0.06601190476190476,66.80952380952381,1.0756388596702668,1.8647532689244533,2.071422743681391,-1.2297075692228483,3.355035796056865
2023/2024,06/22/2024,25,2024,7.0,49,4.123105625617661,2.772588722239781,1.0986122886681098,1.7301803790794439,1.0986122886681098,9.3,9.3,0.03571428571428571,0.08511904761904762,65.26190476190476,1.099342720628792,1.9966469208399678,2.0784012062134862,-1.0332463447537263,3.361499526820493
2023/2024,06/29/2024,26,2024,7.0710678118654755,50,4.123105625617661,2.772588722239781,1.0986122886681098,1.5293261346805223,1.0986122886681098,10.85,10.9,0.5595238095238095,0.07767857142857143,53.107142857142854,1.1834124459752093,2.099801114412906,2.0537006186764266,-0.9614706586125618,3.337782904245631
2024/2025,07/06/2024,27,2024,9.643650760992955,51,4.123105625617661,3.1354942159291497,1.3862943611198906,4.420833169046072,1.3862943611198906,10.3,10.35,0.5476190476190477,0.07017857142857144,69.69642857142857,1.3951006798486687,2.31630185831765,2.217683461430438,-0.569602663366011,3.631184194168193
2024/2025,07/13/2024,28,2024,9.38083151964686,55,4.58257569495584,2.5649493574615367,1.0986122886681098,4.1444337610869795,1.3862943611198906,10.2,10.2,0.6488095238095238,0.1511309523809524,64.5297619047619,1.3047766568127106,2.1760625147381583,2.3377408970207423,-0.7578286589678841,3.879768593499697
2024/2025,07/20/2024,29,2024,6.708203932499369,37,3.605551275463989,2.302585092994046,1.0986122886681098,1.5293261346805223,1.0986122886681098,10.55,10.65,0.5178571428571429,0.09755952380952382,57.56547619047619,1.119969948715409,1.9649348308770382,2.03337937803813,-1.3344333311497056,3.267239073974379
2024/2025,07/27/2024,30,2024,6.708203932499369,43,4.0,2.833213344056216,1.0986122886681098,1.5293261346805223,1.0986122886681098,10.0,10.05,1.4702380952380953,0.10488095238095238,52.04761904761905,1.1385161453583115,2.0438736455406645,2.152503104416284,-1.261564600058907,3.539971610678141
2024/2025,08/03/2024,31,2024,7.14142842854285,51,4.242640687119285,2.772588722239781,1.3862943611198906,1.6636389830130331,1.0986122886681098,9.75,9.9,0.8392857142857143,0.13940476190476192,46.595238095238095,1.0973541143212147,2.1156114153558603,2.0963163348516196,-0.8668604830652571,3.353901807923815
2024/2025,08/10/2024,32,2024,7.280109889280518,51,4.242640687119285,2.772588722239781,1.3862943611198906,2.0571505815775266,1.0986122886681098,9.9,10.25,0.2976190476190476,0.10184523809523809,58.208333333333336,1.2053453424361886,2.240970648581989,2.3104926462339295,-0.36583861860025624,3.7752467795798053
2024/2025,08/17/2024,33,2024,6.4031242374328485,33,3.3166247903554,2.1972245773362196,1.0986122886681098,1.25544593312833,0.6931471805599453,9.8,10.25,0.0,0.04619047619047619,43.625,0.996537147202729,1.944664241660662,1.7267443598677492,-1.843990298570235,2.6755513231868324
2024/2025,08/24/2024,34,2024,6.324555320336759,26,3.0,2.3978952727983707,1.0986122886681098,1.1858040827371532,1.0986122886681098,9.0,9.0,0.0,0.08517857142857144,54.398809523809526,0.9998384109587503,1.9700790014096519,1.747380557080678,-0.8366550825784452,2.714758903770838
2024/2025,08/31/2024,35,2024,8.888194417315589,47,4.0,2.70805020110221,1.3862943611198906,3.6351438296146172,1.3862943611198906,8.5,8.55,0.6607142857142857,0.10601190476190475,70.76785714285714,1.319227525670292,2.2957415597940463,2.2709895492376466,-0.058260894701865136,3.710983939750113
2024/2025,09/07/2024,36,2024,7.416198487095663,53,4.358898943540674,2.9444389791664403,1.3862943611198906,2.185433848660786,1.3862943611198906,8.1,8.3,0.25,0.055,60.69642857142857,1.3273506992974229,2.4713494546820893,2.239620943413401,-0.17046057235615736,3.6350224478632254
2024/2025,09/14/2024,37,2024,7.681145747868608,56,4.47213595499958,2.833213344056216,1.3862943611198906,2.438063739208284,1.0986122886681098,8.0,8.0,0.07142857142857142,0.05880952380952381,52.529761904761905,1.1597433535278465,2.269766420895281,2.150901419841434,-0.2723520755539138,3.464559695415231
2024/2025,09/21/2024,38,2024,6.4031242374328485,37,3.4641016151377544,2.8903717578961645,1.3862943611198906,1.25544593312833,0.6931471805599453,6.9,6.9,0.011904761904761904,0.11750000000000001,54.910714285714285,0.8985726164081983,1.9811767626912395,1.9484745945290838,-0.49537064906802475,3.0745691810565696
2024/2025,09/28/2024,39,2024,9.643650760992955,65,5.0990195135927845,3.044522437723423,1.6094379124341003,4.420833169046072,1.6094379124341003,6.65,6.75,0.7261904761904762,0.09583333333333334,63.214285714285715,1.3853471484220794,2.5047551331126607,2.5219172014115623,0.13926116675604594,4.247500090678525
2024/2025,10/05/2024,40,2024,11.832159566199232,67,5.196152422706632,3.4339872044851463,1.6094379124341003,6.841971591626703,1.791759469228055,6.85,6.85,0.5476190476190477,0.08101190476190476,68.01785714285714,1.6606355953283167,3.0560120392641386,2.5900930473045296,0.7003905754030216,4.381426111004707
2024/2025,10/12/2024,41,2024,9.38083151964686,55,4.47213595499958,3.4339872044851463,1.6094379124341003,4.1444337610869795,1.3862943611198906,5.8,5.9,0.10714285714285714,0.05386904761904762,46.57142857142857,1.380133319775871,2.804279446375363,2.142447152106513,-0.034135955300948984,3.4375595529592027
2024/2025,10/19/2024,42,2024,6.164414002968976,30,3.1622776601683795,3.332204510175204,1.3862943611198906,1.0450099725061894,1.0986122886681098,5.25,5.5,0.05357142857142857,0.048452380952380955,46.57142857142857,1.1818488322299796,2.4678459393937002,1.8025045469555698,-0.4966544098420192,2.806441685589172
2024/2025,10/26/2024,43,2024,7.810249675906654,61,4.795831523312719,3.367295829986474,1.9459101490553132,1.5966913036514077,1.791759469228055,4.9,4.9,0.43452380952380953,0.04380952380952381,45.81547619047619,1.6052305086522545,3.1025507744569034,2.272685286027278,0.679319475603191,3.715664657411542
2024/2025,11/02/2024,44,2024,7.211102550927978,52,4.242640687119285,2.833213344056216,1.6094379124341003,1.1156641466611692,1.0986122886681098,4.05,4.65,0.017857142857142856,0.06321428571428572,57.81547619047619,1.087242825281988,2.297716727718636,1.7381199993719991,0.33780327451088155,2.762784842351638
2024/2025,11/09/2024,45,2024,7.483314773547883,56,4.69041575982343,3.5553480614894135,1.9459101490553132,1.4615317094799078,1.6094379124341003,4.05,4.05,1.3511904761904763,0.054047619047619046,48.232142857142854,1.4621629390894826,2.9159445905900796,2.1608584576957273,0.6759565773848767,3.6355841162148117
2024/2025,11/16/2024,46,2024,7.416198487095663,55,4.242640687119285,3.5553480614894135,1.791759469228055,1.3246049715253485,1.6094379124341003,3.3,3.3,0.17857142857142858,0.06517857142857143,51.660714285714285,1.331117776655407,2.825232499193793,2.1436024509859815,0.6064822622101629,3.256014989075714
2024/2025,11/23/2024,47,2024,7.3484692283495345,54,3.7416573867739413,3.4339872044851463,1.9459101490553132,1.1156641466611692,1.6094379124341003,2.65,3.1,0.11904761904761904,0.06922619047619048,61.035714285714285,0.9939528772147858,2.3388623942604343,1.7730986161131732,0.060463595247444456,2.5791128858646144
