SEASON,AGE_GRP,RPHO_REGION,WEEKENDING,MMWR_WEEK,MMWR_YEAR,COV_POSITIVES,COV_TOTAL_TESTS,COV_TP,COV_TP_LEVEL,FLU_POSITIVES,FLU_TOTAL_TESTS,FLU_TP,FLU_TP_LEVEL,RSV_POSITIVES,RSV_TOTAL_TESTS,RSV_TP,RSV_TP_LEVEL,FLU_A_TESTS,FLU_B_TESTS,COV_ED_VISITS,FLU_ED_VISITS,RSV_ED_VISITS,POP,COV_ADM,FLU_ADM,RSV_ADM,COV_ADM_RATE,FLU_ADM_RATE,RSV_ADM_RATE,COV_ADM_LEVEL,FLU_ADM_LEVEL,RSV_ADM_LEVEL,TOTAL_DEATHS,COV_DEATHS,FLU_DEATHS,RSV_DEATHS,COV_DEATHS_PER,FLU_DEATHS_PER,RSV_DEATHS_PER,SEASON_COV_PED_DEATHS,SEASON_FLU_PED_DEATHS,SEASON_RSV_PED_DEATHS
2023/2024,18-64 yrs,Bay Area,07/08/2023,27,2023,991,24616,4.025836854,Low,26,857,3.033839,Low,0,752,0,Very Low,,,,,,,,,,,,,,,,249,3,0,0,1.204819,0,0,,,
2023/2024,0-17 yrs,Southern California,07/08/2023,27,2023,129,3350,3.850746269,Low,26,602,4.318937,Low,5,493,1.014199,Low,,,,,,,,,,,,,,,,19,0,0,0,0,0,0,,,
2023/2024,>64 yrs,Greater Sierra-Sacramento,07/08/2023,27,2023,124,1844,6.724511931,Low,3,156,1.923077,Very Low,0,48,0,Very Low,,,,,,,,,,,,,,,,364,3,0,0,0.824176,0,0,,,
2023/2024,18-64 yrs,Greater Sierra-Sacramento,07/08/2023,27,2023,238,4278,5.563347359,Low,14,199,7.035176,Low,2,67,2.985075,Low,,,,,,,,,,,,,,,,126,0,0,1,0,0,0.793651,,,
2023/2024,All Ages,Greater Sierra-Sacramento,07/08/2023,27,2023,407,7046,5.776326994,Low,26,546,4.761905,Low,2,176,1.136364,Low,,,,,,,,,,,,,,,,499,3,0,1,0.601202,0,0.200401,,,
2023/2024,>64 yrs,Central California,07/08/2023,27,2023,180,2717,6.624953993,Low,4,210,1.904762,Very Low,0,186,0,Very Low,,,,,,,,,,,,,,,,419,5,0,0,1.193317,0,0,,,
2023/2024,>64 yrs,Southern California,07/08/2023,27,2023,517,6880,7.514534884,Low,28,1814,1.54355,Very Low,1,1372,0.072886,Very Low,,,,,,,,,,,,,,,,1184,10,0,0,0.844595,0,0,,,
2023/2024,18-64 yrs,California,07/08/2023,27,2023,3431,72187,4.752933354,Low,157,5963,2.632903,Low,2,4642,0.043085,Very Low,,,,,,,,,,,,,,,,1333,7,0,1,0.525131,0,0.075019,,,
2023/2024,All Ages,Los Angeles,07/08/2023,27,2023,1493,31795,4.695706872,Low,95,3376,2.813981,Low,5,2512,0.199045,Very Low,,,,,,,,,,,,,,,,1157,8,0,0,0.691443,0,0,,,
2023/2024,0-17 yrs,Rural North,07/08/2023,27,2023,8,139,5.755395683,Low,2,36,5.555556,Low,0,16,0,Very Low,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,
