SEASON,WEEKENDING,MMWR_WEEK,MMWR_YEAR,us_aqi (USAQI),us_aqi_pm2_5 (USAQI),us_aqi_pm10 (USAQI),us_aqi_nitrogen_dioxide (USAQI),us_aqi_carbon_monoxide (USAQI),us_aqi_ozone (USAQI),us_aqi_sulphur_dioxide (USAQI),uv_index (),uv_index_clear_sky (),dust (μg/m³),aerosol_optical_depth (),ozone (μg/m³),sulphur_dioxide (μg/m³),nitrogen_dioxide (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),pm10 (μg/m³)
2022/2023,07/01/2023,26,2023,66,49,16,15,2,66,2,10.2,10.2,0.4166666666666667,0.09625,68.45833333333333,3.475,15.450000000000001,11.891666666666666,224.79166666666666,18.079166666666666
2023/2024,07/08/2023,27,2023,56,52,18,14,3,56,2,10.55,11.45,0.8690476190476191,0.11125,63.00595238095238,1.6446428571428573,5.984523809523809,8.283928571428572,144.75,13.145833333333334
2023/2024,07/15/2023,28,2023,53,45,15,15,2,53,2,10.9,11.15,0.47023809523809523,0.056369047619047624,53.00595238095238,2.367857142857143,9.210714285714285,7.710714285714286,145.70833333333334,11.957142857142857
2023/2024,07/22/2023,29,2023,52,52,19,15,2,47,2,10.25,10.6,0.16071428571428573,0.1144047619047619,56.023809523809526,2.699404761904762,11.017857142857142,10.786904761904761,177.20238095238096,16.81547619047619
2023/2024,07/29/2023,30,2023,51,51,18,13,2,40,2,10.8,10.8,0.0,0.05952380952380952,51.404761904761905,2.3595238095238096,9.026190476190477,7.1589285714285715,145.82142857142858,10.997619047619047
2023/2024,08/05/2023,31,2023,40,40,13,9,2,40,2,10.1,10.25,0.0,0.08428571428571428,48.05357142857143,1.8017857142857143,7.4,6.955357142857143,144.98809523809524,10.523809523809524
2023/2024,08/12/2023,32,2023,39,37,13,13,2,39,2,9.65,9.65,0.13095238095238096,0.09839285714285714,46.13690476190476,1.6642857142857144,7.789880952380953,6.457738095238096,141.26190476190476,9.864880952380952
2023/2024,08/19/2023,33,2023,79,52,19,12,2,79,2,9.05,9.2,1.2857142857142858,0.1394642857142857,65.48809523809524,2.3148809523809524,9.307738095238095,10.85892857142857,167.49404761904762,16.958333333333332
2023/2024,08/26/2023,34,2023,85,54,21,20,3,85,3,9.25,9.45,1.3928571428571428,0.1906547619047619,69.06547619047619,2.3857142857142857,10.219047619047618,9.25,214.14880952380952,14.617857142857144
2023/2024,09/02/2023,35,2023,87,69,29,16,3,87,4,9.35,9.35,0.08333333333333333,0.10255952380952381,48.05357142857143,2.3017857142857143,11.185119047619047,9.160714285714286,200.51785714285714,14.001785714285715
